"V1","V2","V3","V4","V5","V6","V7","V8"
6,4,3,2,1,0,1,0
21,34,45,20,0,0,0,0
25,44,27,7,1,0,0,0
17,22,42,16,0,0,0,1
3,22,29,24,1,0,1,0
38,46,41,27,0,1,0,0
25,10,13,10,1,0,0,0
3,36,19,22,1,0,0,0
40,6,45,37,0,1,0,1
18,32,33,37,0,0,1,1
42,16,44,25,0,1,0,1
21,41,31,6,0,0,0,1
29,48,44,44,1,1,0,0
7,29,5,12,0,1,0,1
49,5,6,38,0,0,1,0
47,7,20,29,0,0,0,1
25,33,27,7,1,1,0,0
43,35,46,10,1,1,1,0
44,27,19,18,0,0,0,0
37,3,33,21,1,1,1,0
9,40,17,22,0,0,0,0
35,27,37,8,1,0,1,0
16,25,39,24,1,1,0,0
11,3,16,3,0,1,1,1
40,8,45,22,0,0,0,0
3,29,19,45,1,1,0,0
45,11,25,39,0,0,1,0
2,15,21,33,0,0,0,1
3,47,15,2,1,0,0,0
2,7,13,31,0,0,0,0
22,2,17,34,0,0,0,0
33,50,41,10,1,0,0,0
15,5,38,11,0,0,0,0
39,22,17,20,0,0,0,0
48,24,32,12,1,0,0,1
21,4,30,20,0,0,0,0
38,29,25,23,0,1,1,0
20,31,36,10,0,0,0,0
22,3,39,48,0,1,0,1
10,8,49,21,0,0,0,0
36,20,8,50,0,0,0,0
36,10,32,15,0,0,0,0
50,8,9,13,0,0,0,0
9,19,36,24,0,0,0,0
2,24,17,39,0,0,0,0
15,1,36,24,0,0,0,0
18,11,24,26,0,0,0,0
15,16,38,48,0,1,0,1
17,21,21,40,0,0,0,0
45,4,23,18,0,0,0,0
41,2,49,26,0,0,0,0
27,41,7,44,0,0,0,0
49,49,12,46,0,0,1,1
39,17,37,40,0,0,1,0
16,36,39,5,1,0,0,0
23,17,12,26,0,0,1,0
18,46,1,41,0,1,0,0
39,49,39,43,0,0,0,1
16,34,49,27,1,0,0,0
43,47,2,14,1,0,0,0
4,34,45,45,0,0,0,0
19,35,35,27,0,1,1,0
50,24,2,13,0,0,0,0
28,34,48,6,0,0,1,1
47,1,46,6,0,0,1,1
6,42,11,13,1,0,0,0
37,45,27,17,1,0,0,0
48,47,6,28,1,0,1,0
26,31,30,37,0,0,0,1
32,17,47,26,0,0,0,0
17,16,13,45,0,1,0,0
2,8,3,29,0,0,1,1
26,3,33,14,0,1,1,0
28,31,14,43,0,0,0,1
24,36,41,36,0,0,0,0
2,43,10,17,0,1,0,0
46,25,27,45,1,1,0,0
36,37,29,6,0,1,1,1
16,39,33,44,1,0,1,0
6,50,42,19,1,0,0,0
44,43,49,49,0,1,0,0
29,36,20,7,1,0,0,0
48,30,32,3,1,0,0,1
35,23,48,44,1,0,1,0
6,11,24,25,1,0,0,1
17,24,26,30,0,0,0,0
36,15,11,5,0,0,0,0
23,43,1,47,0,1,0,0
3,43,47,32,1,1,0,0
45,27,48,34,0,0,1,0
15,40,16,42,0,0,1,0
13,6,29,45,0,1,1,0
43,37,9,14,1,1,0,0
41,13,14,47,0,0,0,0
6,39,32,46,1,0,0,1
23,27,40,14,0,0,0,0
24,40,10,1,0,0,0,0
48,7,14,37,1,0,0,1
8,40,1,49,0,0,0,0
31,30,17,29,0,0,0,1
11,50,6,19,0,0,1,0
34,48,38,38,0,1,0,0
31,1,46,36,0,0,1,0
18,1,3,25,0,0,1,1
16,46,38,14,1,1,0,0
44,34,8,27,0,0,0,0
16,33,44,29,1,1,0,1
7,48,18,14,0,1,0,0
24,46,28,37,0,1,0,1
39,5,32,49,0,0,0,0
45,27,7,44,0,0,0,0
40,29,7,31,0,1,0,0
45,16,46,4,0,1,1,0
40,5,46,25,0,0,1,1
6,43,4,22,1,1,0,0
45,10,32,50,0,0,0,0
24,1,25,20,0,0,1,0
25,43,11,11,1,1,0,0
44,12,24,28,0,1,0,0
28,4,6,41,0,0,1,0
39,11,48,28,0,0,1,0
2,36,46,42,0,0,1,0
5,45,37,48,0,0,1,1
39,19,7,39,0,0,0,0
42,11,48,23,0,0,1,0
5,38,47,1,0,0,0,0
9,15,30,8,0,0,0,0
49,14,39,30,0,0,0,0
18,15,44,22,0,0,0,0
23,9,43,28,0,0,1,0
17,26,9,17,0,0,0,0
4,9,45,16,0,0,0,1
18,27,50,40,0,0,0,0
27,9,48,47,0,0,1,0
38,32,47,49,0,0,0,0
35,45,7,6,1,0,0,1
49,34,27,18,0,0,0,0
33,4,27,7,1,0,0,0
16,50,12,18,1,0,1,0
12,43,26,20,1,1,0,0
33,45,37,2,1,0,1,0
17,42,17,6,0,0,0,1
22,11,15,42,0,0,0,0
43,17,16,33,1,0,1,1
39,9,7,5,0,0,0,0
10,22,24,10,0,0,0,0
30,37,30,35,0,1,0,1
15,18,25,4,0,0,1,0
38,34,19,45,0,0,0,0
25,36,24,32,1,0,0,0
15,24,48,46,0,0,1,1
7,41,46,22,0,0,1,0
26,48,19,19,0,1,0,0
25,11,26,18,1,0,0,0
19,27,3,42,0,0,1,0
17,18,38,28,0,0,0,0
45,46,9,49,0,1,0,0
3,39,49,22,1,0,0,0
26,14,7,3,0,0,0,1
47,36,25,35,0,0,1,1
25,35,32,12,1,1,0,1
47,1,30,9,0,0,0,0
3,10,28,21,1,0,0,0
4,21,47,7,0,0,0,0
27,16,29,32,0,1,1,0
47,30,9,43,0,0,0,1
37,23,42,3,1,0,0,1
27,14,7,23,0,0,0,0
6,33,16,31,1,1,1,0
38,4,36,49,0,0,0,0
49,2,43,17,0,0,1,0
16,38,7,32,1,0,0,0
49,11,39,50,0,0,0,0
7,6,6,34,0,1,1,0
35,48,18,42,1,1,0,0
15,49,19,47,0,0,0,0
38,5,50,7,0,0,0,0
45,8,21,23,0,0,0,0
23,31,32,22,0,0,0,0
21,35,40,33,0,1,0,1
30,26,47,22,0,0,0,0
14,3,45,41,0,1,0,0
36,9,10,35,0,0,0,1
1,48,15,5,0,1,0,0
30,7,26,33,0,0,0,1
37,41,1,23,1,0,0,0
30,12,7,33,0,1,0,1
18,31,37,1,0,0,1,0
9,44,40,39,0,0,0,0
19,6,36,7,0,1,0,0
3,2,48,2,1,0,1,0
13,33,5,35,0,1,0,1
7,37,17,21,0,1,0,0
7,16,4,6,0,1,0,1
21,2,10,41,0,0,0,0
23,15,13,3,0,0,0,1
23,50,18,22,0,0,0,0
42,41,40,40,0,0,0,0
27,20,42,10,0,0,0,0
35,25,36,12,1,1,0,1
40,1,12,19,0,0,1,0
39,8,33,14,0,0,1,0
41,16,13,22,0,1,0,0
7,30,47,28,0,0,0,0
19,18,9,47,0,0,0,0
21,41,46,50,0,0,1,0
20,10,36,8,0,0,0,0
31,35,38,3,0,1,0,1
46,9,12,49,1,0,1,0
14,43,45,42,0,1,0,0
49,48,25,24,0,1,1,0
32,34,21,35,0,0,0,1
24,49,25,36,0,0,1,0
23,26,9,6,0,0,0,1
28,13,45,5,0,0,0,0
28,12,49,23,0,1,0,0
24,1,50,27,0,0,0,0
19,11,1,22,0,0,0,0
41,27,17,39,0,0,0,0
20,22,34,26,0,0,0,0
37,39,2,12,1,0,0,1
33,25,41,42,1,1,0,0
5,45,26,18,0,0,0,0
29,11,9,11,1,0,0,0
35,19,23,35,1,0,0,1
35,46,45,18,1,1,0,0
44,38,37,24,0,0,1,0
18,18,9,50,0,0,0,0
30,35,9,17,0,1,0,0
27,38,4,4,0,0,0,0
5,7,42,22,0,0,0,0
42,2,30,26,0,0,0,0
20,46,17,22,0,1,0,0
8,5,48,42,0,0,1,0
23,31,30,39,0,0,0,0
8,31,5,9,0,0,0,0
4,14,34,30,0,0,0,0
35,45,35,38,1,0,1,0
42,38,39,49,0,0,0,0
38,15,39,41,0,0,0,0
6,39,1,36,1,0,0,0
19,44,38,5,0,0,0,0
32,15,39,43,0,0,0,1
15,12,35,46,0,1,1,1
4,35,2,16,0,1,0,1
48,23,12,7,1,0,1,0
33,5,30,36,1,0,0,0
11,3,37,11,0,1,1,0
24,20,42,40,0,0,0,0
46,6,26,7,1,1,0,0
32,32,38,37,0,0,0,1
36,3,22,44,0,1,0,0
46,37,44,26,1,1,0,0
30,26,36,29,0,0,0,1
33,40,7,7,1,0,0,0
33,12,1,20,1,1,0,1
22,48,34,17,0,1,0,0
21,47,19,21,1,0,1,1
44,26,23,4,1,0,1,0
19,33,39,7,1,1,0,0
35,32,36,29,1,0,1,1
21,36,50,17,1,1,0,0
44,37,28,10,1,1,1,1
32,24,25,20,0,1,1,1
15,21,34,42,0,1,0,0
18,33,31,5,0,1,0,0
19,2,16,44,1,0,1,1
32,41,41,35,0,1,1,1
10,6,7,43,1,1,0,1
32,25,45,34,0,1,1,0
40,2,42,42,1,0,0,0
24,25,39,19,1,1,0,1
13,8,23,46,1,0,1,1
18,10,45,41,0,1,1,1
49,26,13,23,0,0,1,1
25,34,30,11,1,0,1,0
23,34,29,13,1,0,1,1
19,10,49,4,1,1,0,0
19,31,26,45,1,0,0,1
17,28,30,22,0,1,1,0
38,31,27,30,0,0,0,1
1,15,41,1,0,0,1,0
34,17,25,30,0,0,1,1
1,9,35,25,0,0,1,1
21,15,9,31,1,0,0,0
39,11,32,36,0,0,0,1
39,5,6,37,0,0,1,1
23,46,26,29,1,1,0,1
13,12,21,30,1,1,1,1
17,39,47,50,0,0,0,0
10,47,19,29,1,0,1,1
1,27,44,8,0,0,1,0
8,5,31,46,0,0,0,1
4,17,29,14,0,0,1,0
37,44,36,30,1,1,1,1
40,33,8,3,1,1,0,1
39,7,11,30,0,0,0,1
6,46,32,47,1,1,0,0
21,14,45,10,1,0,1,1
8,42,50,11,0,0,0,0
30,40,31,46,1,1,0,1
48,44,46,27,1,1,1,0
4,49,31,5,0,0,0,0
24,46,50,34,1,1,0,0
20,3,10,8,1,1,1,0
5,11,5,9,0,0,0,0
8,35,22,19,0,1,0,1
39,27,13,35,0,0,1,1
4,40,32,19,0,1,0,1
30,14,33,2,1,0,1,0
3,26,15,28,1,0,0,1
12,35,48,11,1,1,1,0
49,25,19,25,0,1,1,1
48,42,2,18,1,0,0,0
29,39,7,37,1,0,0,1
7,49,50,2,0,0,0,0
33,24,47,46,1,1,0,1
38,12,22,37,0,1,0,1
42,49,22,28,0,0,0,1
24,10,7,25,1,1,0,1
28,24,30,29,1,1,1,1
40,39,47,38,1,0,0,0
22,24,18,9,0,1,0,0
30,12,15,2,1,1,0,0
50,16,12,19,0,1,1,1
46,27,2,27,1,0,0,0
1,13,5,41,0,1,0,1
39,1,46,20,0,0,1,1
33,13,15,42,1,1,0,0
37,28,41,45,1,1,1,1
44,5,33,5,1,0,1,0
49,20,38,25,0,1,0,1
34,48,38,48,0,1,0,1
14,11,45,3,0,0,1,1
46,11,45,5,1,0,1,0
4,9,3,20,0,0,1,1
11,30,50,22,0,1,0,0
10,38,30,39,1,0,1,0
49,37,44,3,0,1,1,1
2,6,16,8,0,1,1,0
33,5,39,12,1,0,0,1
1,46,38,41,0,1,0,1
44,34,5,39,1,0,0,0
9,44,44,33,0,1,1,1
18,23,9,9,0,1,0,0
22,10,19,20,0,1,1,1
35,20,3,12,1,1,1,1
3,30,10,40,1,1,1,1
28,38,12,42,1,0,1,0
17,7,14,13,0,0,0,1
27,48,5,33,0,1,0,1
41,33,17,49,1,1,0,0
2,45,48,39,0,1,1,0
34,12,21,31,0,1,1,0
46,44,14,13,1,1,0,1
3,45,37,34,1,1,1,0
49,14,44,22,0,0,1,0
43,24,3,21,1,1,1,1
1,1,20,20,0,0,1,1
36,5,25,15,1,0,1,0
16,31,8,35,1,0,0,1
31,30,8,49,0,1,0,0
29,35,34,42,1,1,0,0
28,6,23,44,1,1,1,1
43,2,33,40,1,0,1,1
6,29,23,10,1,1,1,1
33,5,34,2,1,0,0,0
15,44,8,30,0,1,0,1
44,27,16,42,1,0,1,0
18,25,50,5,0,1,0,0
11,18,28,49,0,0,1,0
33,25,8,38,1,1,0,0
36,15,3,32,1,0,1,0
42,47,31,41,0,0,0,1
8,34,49,18,0,0,0,0
34,15,8,36,0,0,0,1
22,39,48,8,0,0,1,0
24,50,50,16,1,0,0,1
42,20,30,41,0,1,1,1
39,41,44,38,0,1,1,0
4,17,18,13,0,0,0,1
35,25,25,20,1,1,1,1
7,3,48,49,0,1,1,0
37,6,18,21,1,1,0,1
9,40,36,27,0,1,1,0
30,18,10,27,1,0,1,0
42,3,3,20,0,1,1,1
45,35,15,42,1,1,0,0
42,33,32,47,0,1,0,0
15,25,9,9,0,1,0,0
11,19,17,28,0,1,0,1
34,34,8,44,0,0,0,1
11,24,9,8,0,1,0,0
37,8,24,30,1,0,1,1
39,47,41,3,0,0,1,1
24,44,23,33,1,1,1,1
43,15,45,41,1,0,1,1
6,31,11,6,1,0,0,1
20,32,28,37,1,0,1,1
18,18,33,17,0,0,1,0
23,35,7,34,1,1,0,0
17,42,23,32,0,0,1,0
24,8,5,48,1,0,0,1
26,42,2,48,0,0,0,1
20,32,37,38,1,0,1,0
26,30,18,3,0,1,0,1
32,40,50,45,0,1,0,1
16,42,5,38,1,0,0,0
14,19,38,43,0,1,0,1
8,13,8,34,0,1,0,0
8,32,6,20,0,0,1,1
46,26,5,4,1,0,0,0
3,7,35,48,1,0,1,1
41,42,24,39,1,0,1,0
23,15,35,14,1,0,1,0
24,46,25,34,1,1,1,0
6,35,33,32,1,1,1,0
30,13,29,13,1,1,1,1
47,42,19,1,0,0,1,0
6,9,46,12,1,0,1,1
14,19,9,17,0,1,0,0
28,18,30,31,1,0,1,0
50,33,50,1,0,1,0,0
38,9,30,6,0,0,1,1
38,21,46,22,0,1,1,0
13,42,5,31,1,0,0,0
19,16,7,1,1,1,0,0
32,24,12,40,0,1,1,1
35,46,43,29,1,1,1,1
38,22,2,28,0,0,0,1
25,28,3,35,1,1,1,1
37,32,17,4,1,0,0,0
26,23,49,2,0,1,0,0
9,16,31,21,0,1,0,1
11,13,9,20,0,1,0,1
24,44,22,23,1,1,0,1
46,12,30,25,1,1,1,1
4,6,6,15,0,1,1,0
50,21,24,41,0,1,1,1
10,43,35,27,1,1,1,0
31,43,27,35,0,1,0,1
38,24,8,8,0,1,0,0
29,5,6,24,1,0,1,1
19,15,35,28,1,0,1,1
12,36,43,34,1,1,1,0
25,45,25,13,1,1,1,1
32,22,19,44,0,0,1,1
43,7,41,32,1,0,1,0
18,2,24,28,0,0,1,1
21,22,20,5,1,0,1,0
2,17,22,47,0,0,0,0
45,36,15,28,1,1,0,1
39,48,13,34,0,1,1,0
17,44,14,23,0,1,0,1
38,5,6,15,0,0,1,0
16,25,38,39,1,1,0,0
36,34,9,18,1,0,0,0
6,37,50,39,1,1,0,0
22,21,45,9,0,1,1,0
21,17,48,29,1,0,1,1
12,14,9,17,1,0,0,0
9,44,38,2,0,1,0,0
33,44,49,49,1,1,0,0
32,17,6,34,0,0,1,0
23,5,18,13,1,0,0,1
39,27,31,9,0,0,0,0
1,41,9,17,0,1,0,0
31,24,22,13,0,1,0,1
44,30,19,33,1,1,1,1
7,19,20,21,0,1,1,1
4,46,40,9,0,1,1,0
38,9,15,28,0,0,0,1
35,12,43,27,1,1,1,0
44,1,20,17,1,0,1,0
39,2,23,19,0,0,1,1
1,48,37,10,0,1,1,1
50,36,50,38,0,1,0,0
23,42,41,12,1,0,1,1
1,15,46,32,0,0,1,0
35,20,46,42,1,1,1,0
9,15,17,25,0,0,0,1
42,47,31,7,0,0,0,0
6,15,22,31,1,0,0,0
10,13,23,36,1,1,1,1
2,24,10,48,0,1,1,1
10,10,44,38,1,1,1,0
47,43,6,28,0,1,1,1
23,14,13,26,1,0,1,0
46,28,10,1,1,1,1,0
22,9,40,49,0,0,1,0
38,35,27,16,0,1,0,1
36,8,34,23,1,0,0,1
43,22,27,24,1,0,0,1
31,33,39,16,0,1,0,1
46,9,26,32,1,0,0,0
27,29,48,21,0,1,1,1
30,36,19,5,1,1,1,0
30,26,30,28,1,0,1,1
42,24,6,49,0,1,1,0
37,7,12,22,1,0,1,0
14,38,48,23,0,0,1,1
16,11,42,16,1,0,0,1
26,38,35,29,0,0,1,1
5,31,39,43,0,0,0,1
18,22,15,25,0,0,0,1
26,23,14,5,0,1,0,0
9,26,13,38,0,0,1,0
18,28,33,31,0,1,1,0
36,30,44,16,1,1,1,1
33,13,19,22,1,1,1,0
19,43,9,27,1,1,0,0
4,46,36,36,0,1,1,1
35,19,26,17,1,1,0,0
46,9,5,10,1,0,0,1
20,1,44,41,1,0,1,1
10,13,10,37,1,1,1,1
4,13,15,21,0,1,0,1
22,4,4,8,0,0,0,0
3,13,27,43,1,1,0,1
22,39,18,23,0,0,0,1
11,48,10,16,0,1,1,1
34,7,16,22,0,0,1,0
48,45,8,38,1,1,0,0
19,47,2,16,1,0,0,1
29,13,24,15,1,1,1,0
40,27,17,5,1,0,0,0
35,47,26,21,1,0,0,1
46,16,39,2,1,1,0,0
22,10,22,48,0,1,0,1
37,20,23,32,1,1,1,0
13,38,47,22,1,0,0,0
2,1,39,11,0,0,0,0
8,36,37,48,0,1,1,1
44,31,37,50,1,0,1,0
18,37,49,6,0,1,0,1
4,34,1,13,0,0,0,1
18,41,9,26,0,1,0,0
21,4,50,47,1,0,0,0
19,33,18,15,1,1,0,0
16,3,44,5,1,1,1,0
4,26,16,38,0,0,1,0
4,8,7,38,0,0,0,0
21,37,6,10,1,1,1,1
40,48,31,43,1,1,0,1
31,24,7,29,0,1,0,1
2,27,14,33,0,0,0,1
47,8,31,16,0,0,0,1
33,47,9,10,1,0,0,1
5,30,5,46,0,1,0,1
30,44,1,3,1,1,0,1
31,11,43,10,0,0,1,1
39,9,14,30,0,0,0,1
1,4,45,18,0,0,1,0
35,11,30,39,1,0,1,0
44,34,4,21,1,0,0,1
21,28,16,21,1,1,1,1
45,31,37,36,1,0,1,1
13,9,39,13,1,0,0,1
17,26,10,34,0,0,1,0
2,22,1,40,0,0,0,1
16,6,44,14,1,1,1,0
46,19,7,1,1,1,0,0
28,43,26,29,1,1,0,1
35,50,5,43,1,0,0,1
41,17,43,50,1,0,1,0
34,36,33,34,0,1,1,0
39,42,3,22,0,0,1,0
18,43,22,32,0,1,0,0
3,37,44,9,1,1,1,0
31,37,36,13,0,1,1,1
21,27,23,20,1,0,1,1
39,36,27,47,0,1,0,0
29,11,6,21,1,0,1,1
36,18,27,43,1,0,0,1
26,48,41,50,0,1,1,0
20,7,42,14,1,0,0,0
26,41,36,32,0,1,1,0
35,30,27,15,1,1,0,0
49,27,9,21,0,0,0,1
24,47,44,45,1,0,1,1
30,26,31,26,1,0,0,0
27,38,37,4,0,0,1,0
24,12,22,12,1,1,0,1
16,28,49,17,1,1,0,0
9,5,16,14,0,0,1,0
5,16,32,32,0,1,0,0
45,36,30,14,1,1,1,0
23,21,4,31,1,1,0,0
30,44,16,23,1,1,1,1
36,25,28,19,1,1,1,1
7,34,31,26,0,0,0,0
17,36,27,38,0,1,0,0
35,26,40,37,1,0,1,1
3,37,9,1,1,1,0,0
11,47,33,2,0,0,1,0
1,47,47,50,0,0,0,0
45,15,1,40,1,0,0,1
30,44,12,22,1,1,1,0
40,20,48,22,1,1,1,0
4,8,9,19,0,0,0,1
24,33,22,12,1,1,0,1
17,13,45,34,0,1,1,0
33,12,32,22,1,1,0,0
47,48,29,14,0,1,1,0
20,30,8,26,1,1,0,0
34,17,38,2,0,0,0,0
8,16,21,45,0,1,1,1
9,42,23,24,0,0,1,1
17,43,4,31,0,1,0,0
21,7,41,49,1,0,1,0
18,35,45,49,0,1,1,0
40,34,24,30,1,0,1,1
15,46,15,7,0,1,0,0
20,10,13,37,1,1,1,1
39,15,39,4,0,0,0,0
32,28,1,30,0,1,0,1
33,46,31,25,1,1,0,1
50,26,17,47,0,0,0,0
26,45,28,47,0,1,1,0
37,42,18,39,1,0,0,0
27,19,47,11,0,1,0,0
4,6,39,13,0,1,0,1
23,22,16,45,1,0,1,1
33,19,47,24,1,1,0,1
12,31,33,28,1,0,1,1
5,20,39,41,0,1,0,1
5,25,34,2,0,1,0,0
32,8,8,46,0,0,0,1
37,29,20,6,1,1,1,1
35,18,24,13,1,0,1,1
39,39,15,11,0,0,0,0
24,49,48,40,1,0,1,1
10,29,21,10,1,1,1,1
37,29,43,18,1,1,1,0
26,20,22,2,0,1,0,0
27,23,18,25,0,1,0,1
12,45,33,23,1,1,1,1
9,12,42,40,0,1,0,1
36,16,35,19,1,1,1,1
41,14,1,45,1,0,0,1
4,44,3,40,0,1,1,1
28,13,29,14,1,1,1,0
45,47,12,29,1,0,1,1
24,32,30,13,1,0,1,1
5,40,24,26,0,1,1,0
44,41,42,36,1,1,0,1
2,7,16,48,0,0,1,1
23,42,19,2,1,0,1,0
22,17,16,4,0,0,1,0
46,28,50,33,1,1,0,1
24,45,26,32,1,1,0,0
19,9,40,50,1,0,1,0
15,34,34,50,0,0,0,0
15,32,20,3,0,0,1,1
47,5,30,16,0,0,1,1
50,45,44,45,0,1,1,1
11,7,46,17,0,0,1,0
21,44,38,33,1,1,0,1
35,3,11,49,1,1,0,0
2,50,46,40,0,0,1,1
45,46,16,32,1,1,1,0
37,50,17,33,1,0,0,1
41,23,11,27,1,1,0,0
40,3,22,44,1,1,0,1
13,32,35,37,1,0,1,1
6,23,30,39,1,1,1,0
25,10,37,48,1,1,1,1
14,17,36,11,0,0,1,0
48,25,48,1,1,1,1,0
39,36,48,10,0,1,1,1
30,37,10,38,1,1,1,0
27,41,16,29,0,1,1,1
44,32,28,42,1,0,1,0
3,1,37,25,1,0,1,1
10,44,3,50,1,1,1,0
14,10,49,46,0,1,0,1
40,17,23,18,1,0,1,0
28,24,38,2,1,1,0,0
32,34,3,43,0,0,1,1
20,18,31,3,1,0,0,1
35,20,36,38,1,1,1,0
25,9,11,8,1,0,0,0
33,25,26,16,1,1,0,1
28,29,37,45,1,1,1,1
48,27,27,50,1,0,0,0
35,5,12,10,1,0,1,1
26,43,35,34,0,1,1,0
10,19,27,37,1,1,0,1
36,46,5,3,1,1,0,1
41,31,11,30,1,0,0,1
8,29,22,43,0,1,0,1
33,25,24,31,1,1,1,0
16,50,8,21,1,0,0,1
41,8,12,11,1,0,1,0
49,2,9,1,0,0,0,0
31,42,15,24,0,0,0,1
18,13,7,17,0,1,0,0
10,42,49,38,1,0,0,0
17,50,27,46,0,0,0,1
16,39,28,50,1,0,1,0
20,47,19,19,1,0,1,1
40,32,41,25,1,0,1,1
29,38,14,7,1,0,0,0
17,3,29,32,0,1,1,0
28,2,9,24,1,0,0,1
26,8,6,50,0,0,1,0
3,14,47,9,1,0,0,0
34,21,47,44,0,1,0,1
8,48,14,18,0,1,0,0
1,41,11,14,0,1,0,0
11,25,6,11,0,1,1,0
36,14,28,18,1,0,1,0
30,21,20,13,1,1,1,1
26,2,36,40,0,0,1,1
1,11,29,24,0,0,1,1
21,19,17,26,1,1,0,0
4,32,1,5,0,0,0,0
50,42,33,39,0,0,1,0
29,36,35,11,1,1,1,0
19,23,10,49,1,1,1,0
31,38,13,21,0,0,1,1
37,9,9,38,1,0,0,0
35,48,42,19,1,1,0,1
33,4,28,3,1,0,1,1
31,28,4,38,0,1,0,0
46,41,35,40,1,1,1,1
22,6,34,2,0,1,0,0
44,45,12,18,1,1,1,0
21,19,23,5,1,1,1,0
14,28,30,8,0,1,1,0
2,45,45,9,0,1,1,0
23,10,2,31,1,1,0,0
32,9,41,35,0,0,1,1
7,2,3,25,0,0,1,1
6,34,49,1,1,0,0,0
16,19,14,16,1,1,0,1
39,4,44,16,0,0,1,1
29,35,14,6,1,1,0,1
17,45,35,32,0,1,1,0
2,26,20,22,0,0,1,0
12,17,26,6,1,0,0,1
28,45,42,40,1,1,0,1
33,15,33,38,1,0,1,0
43,18,2,17,1,0,0,0
25,44,12,18,1,1,1,0
13,21,9,16,1,1,0,1
34,48,22,13,0,1,0,1
5,23,5,30,0,1,0,1
26,28,36,16,0,1,1,1
31,36,11,7,0,1,0,0
30,10,38,12,1,1,0,1
32,42,39,21,0,0,0,1
3,36,5,27,1,1,0,0
17,10,26,4,0,1,0,0
44,21,24,26,1,1,1,0
23,18,10,28,1,0,1,1
17,36,24,15,0,1,1,0
22,16,14,23,0,1,0,1
29,6,21,13,1,1,1,1
2,13,22,16,0,1,0,1
31,22,23,45,0,0,1,1
39,20,33,22,0,1,1,0
33,33,11,23,1,1,0,1
30,41,26,10,1,1,0,1
42,37,23,31,0,1,1,0
9,16,19,12,0,1,1,1
43,1,38,46,1,0,0,1
29,46,37,12,1,1,1,1
7,39,26,21,0,0,0,1
42,44,26,28,0,1,0,1
8,3,28,18,0,1,1,0
22,10,35,3,0,1,1,1
18,26,32,20,0,0,0,1
11,20,21,5,0,1,1,0
1,5,31,12,0,0,0,1
8,21,24,15,0,1,1,0
5,28,39,36,0,1,0,1
42,37,27,13,0,1,0,1
14,37,31,44,0,1,0,1
45,41,37,50,1,1,1,0
20,8,9,9,1,0,0,0
48,26,27,49,1,0,0,0
16,47,30,22,1,0,1,0
44,33,37,22,1,1,1,0
13,35,44,5,1,1,1,0
31,20,25,42,0,1,1,0
36,49,41,49,1,0,1,0
47,1,15,48,0,0,0,1
17,16,48,42,0,1,1,0
44,38,42,39,1,0,0,0
17,3,31,20,0,1,0,1
14,1,43,49,0,0,1,0
19,23,26,39,1,1,0,0
30,3,38,46,1,1,0,1
50,44,45,2,0,1,1,0
13,23,45,40,1,1,1,1
16,47,48,44,1,0,1,1
12,1,15,41,1,0,0,1
13,19,23,28,1,1,1,1
18,4,47,5,0,0,0,0
13,26,11,35,1,0,0,1
17,18,45,26,0,0,1,0
50,16,37,5,0,1,1,0
37,43,48,45,1,1,1,1
6,7,39,46,1,0,0,1
25,8,30,27,1,0,1,0
5,41,49,39,0,1,0,0
49,35,42,27,0,1,0,0
8,43,11,42,0,1,0,0
20,23,42,8,1,1,0,0
11,34,31,20,0,0,0,1
26,22,3,42,0,0,1,0
1,13,11,43,0,1,0,1
32,11,6,18,0,0,1,0
3,19,17,38,1,1,0,0
42,9,34,43,0,0,0,1
33,41,11,42,1,1,0,0
8,3,1,4,0,1,0,0
25,14,50,28,1,0,0,1
15,22,21,34,0,0,1,0
11,14,6,33,0,0,1,1
21,20,37,7,1,1,1,0
9,5,4,20,0,0,0,1
21,27,47,46,1,0,0,1
25,45,30,47,1,1,1,0
45,37,15,11,1,1,0,0
50,34,21,36,0,0,1,1
25,3,37,46,1,1,1,1
15,1,17,7,0,0,0,0
2,17,14,8,0,0,0,0
14,23,29,12,0,1,1,1
50,35,50,28,0,1,0,1
38,44,13,31,0,1,1,0
17,12,49,30,0,1,0,1
36,7,20,37,1,0,1,1
4,31,48,48,0,0,1,1
28,2,9,4,1,0,0,0
2,17,42,42,0,0,0,0
1,48,29,23,0,1,1,1
47,49,29,6,0,0,1,1
10,39,46,20,1,0,1,1
27,21,14,5,0,1,0,0
46,8,9,47,1,0,0,0
11,50,22,29,0,0,0,1
31,40,50,24,0,1,0,1
19,47,20,7,1,0,1,0
18,40,2,27,0,1,0,0
1,41,41,10,0,1,1,1
22,41,20,31,0,1,1,0
3,46,18,46,1,1,0,1
17,3,2,34,0,1,0,0
23,28,19,11,1,1,1,0
27,31,37,24,0,0,1,1
38,17,48,19,0,0,1,1
1,23,42,38,0,1,0,0
50,19,43,41,0,1,1,1
17,11,42,1,0,0,0,0
36,5,50,2,1,0,0,0
7,37,17,13,0,1,0,1
44,28,47,6,1,1,0,1
43,6,42,28,1,1,0,1
47,24,45,28,0,1,1,1
46,44,38,48,1,1,0,1
35,28,5,50,1,1,0,0
44,32,50,48,1,0,0,1
13,28,29,44,1,1,1,1
22,14,24,42,0,0,1,0
30,3,14,23,1,1,0,1
50,26,46,45,0,0,1,1
11,28,19,11,0,1,1,0
35,17,43,40,1,0,1,1
7,38,38,20,0,0,0,1
49,16,33,39,0,1,1,0
